,Words,Freq,Polarity,Subjectivity,Analysis
980,nearly,1,0.1,0.4,Positive
981,week,4,0.0,0.0,Neutral
982,secret,6,-0.4,0.7,Negative
983,tune,1,0.0,0.0,Neutral
984,repeat,5,0.0,0.0,Neutral
985,spilling,1,0.0,0.0,Neutral
986,settee,1,0.0,0.0,Neutral
987,flow,3,0.0,0.0,Neutral
988,sad,7,-0.5,1.0,Negative
989,sort,3,0.0,0.0,Neutral
990,mainly,3,0.16666666666666666,0.3333333333333333,Positive
991,crawling,9,0.0,0.0,Neutral
992,busy,8,0.1,0.3,Positive
993,gut,1,0.0,0.0,Neutral
994,shuts,1,0.0,0.0,Neutral
995,simmer,1,0.0,0.0,Neutral
996,pucker,1,0.0,0.0,Neutral
997,interrupt,1,0.0,0.0,Neutral
998,constantly,1,0.0,0.3333333333333333,Neutral
999,cusp,1,0.0,0.0,Neutral
1000,together,12,0.0,0.0,Neutral
1001,darling,3,0.0,0.0,Neutral
1002,complete,24,0.1,0.4,Positive
1003,evanescence,1,0.0,0.0,Neutral
1004,fleeting,1,0.0,0.0,Neutral
1005,flame,4,0.0,0.0,Neutral
1006,slide,2,0.0,0.0,Neutral
1007,hang,1,0.0,0.0,Neutral
1008,drift,1,0.0,0.0,Neutral
1009,question,5,0.0,0.0,Neutral
1010,darkness,2,0.0,0.0,Neutral
1011,felt,7,0.0,0.0,Neutral
1012,yellow,6,0.0,0.0,Neutral
1013,song,10,0.0,0.0,Neutral
1014,beautiful,5,0.85,1.0,Positive
1015,swam,1,0.0,0.0,Neutral
1016,jumped,2,0.0,0.0,Neutral
1017,drew,2,0.0,0.0,Neutral
1018,bleed,8,0.0,0.0,Neutral
1019,dry,3,-0.06666666666666665,0.6,Negative
1020,selfishness,1,0.0,0.0,Neutral
1021,drifting,1,0.0,0.0,Neutral
1022,soon,1,0.0,0.0,Neutral
1023,arrive,1,0.0,0.0,Neutral
1024,torch,2,0.0,0.0,Neutral
1025,chance,6,0.0,0.0,Neutral
1026,pathetic,1,-1.0,1.0,Negative
1027,regret,1,0.0,0.0,Neutral
1028,delete,1,0.0,0.0,Neutral
1029,reached,1,0.0,0.0,Neutral
1030,meant,16,0.0,0.0,Neutral
1031,cook,1,0.0,0.0,Neutral
1032,dish,3,0.0,0.0,Neutral
1033,record,1,0.0,0.0,Neutral
1034,game,9,-0.4,0.4,Negative
1035,taking,7,0.0,0.0,Neutral
1036,issue,1,0.0,0.0,Neutral
1037,bleeding,1,0.0,0.0,Neutral
1038,bandaids,1,0.0,0.0,Neutral
1039,tissue,1,0.0,0.0,Neutral
1040,kind,9,0.6,0.9,Positive
1041,romantic,2,0.0,0.5,Neutral
1042,overdramatic,1,0.0,0.0,Neutral
1043,perfect,6,1.0,1.0,Positive
1044,lot,3,0.0,0.0,Neutral
1045,simple,1,0.0,0.35714285714285715,Neutral
1046,complicated,1,-0.5,1.0,Negative
1047,five,10,0.0,0.0,Neutral
1048,review,1,0.0,0.0,Neutral
1049,ten,3,0.0,0.0,Neutral
1050,recommend,1,0.0,0.0,Neutral
1051,pressure,8,0.0,0.0,Neutral
1052,keeping,10,0.0,0.0,Neutral
1053,appearance,1,0.0,0.0,Neutral
1054,sometimes,22,0.0,0.0,Neutral
1055,woop,1,0.0,0.0,Neutral
1056,choice,1,0.0,0.0,Neutral
1057,taken,2,0.0,0.0,Neutral
1058,mom,7,0.0,0.0,Neutral
1059,advice,1,0.0,0.0,Neutral
1060,texting,2,0.0,0.0,Neutral
1061,sore,2,0.0,0.0,Neutral
1062,suddenly,4,0.0,0.5,Neutral
1063,hardcore,1,0.0,0.0,Neutral
1064,tattoo,5,0.0,0.0,Neutral
1065,typically,2,-0.16666666666666666,0.5,Negative
1066,actually,4,0.0,0.1,Neutral
1067,throwing,1,0.0,0.0,Neutral
1068,apartment,1,0.0,0.0,Neutral
1069,pic,1,0.0,0.0,Neutral
1070,orleans,1,0.0,0.0,Neutral
1071,pickup,1,0.0,0.0,Neutral
1072,point,2,0.0,0.0,Neutral
1073,packing,1,0.0,0.0,Neutral
1074,suitcase,1,0.0,0.0,Neutral
1075,card,3,0.0,0.0,Neutral
1076,pushed,2,0.0,0.0,Neutral
1077,heal,2,0.0,0.0,Neutral
1078,difference,2,0.0,0.0,Neutral
1079,deleted,1,0.0,0.0,Neutral
1080,photo,1,0.0,0.0,Neutral
1081,youngblood,8,0.0,0.0,Neutral
1082,til,5,0.0,0.0,Neutral
1083,surrender,1,0.0,0.0,Neutral
1084,beat,5,0.0,0.0,Neutral
1085,pulling,11,0.0,0.0,Neutral
1086,walking,20,0.0,0.0,Neutral
1087,hundred,1,0.0,0.0,Neutral
1088,mm,1,0.0,0.0,Neutral
1089,butterfly,7,0.0,0.0,Neutral
1090,choose,2,0.0,0.0,Neutral
1091,hide,7,0.0,0.0,Neutral
1092,confess,3,0.0,0.0,Neutral
1093,became,2,0.0,0.0,Neutral
1094,friendship,1,0.0,0.0,Neutral
1095,lowkey,5,0.0,0.0,Neutral
1096,wonder,5,0.0,0.0,Neutral
1097,cop,1,0.0,0.0,Neutral
1098,whiskey,1,0.0,0.0,Neutral
1099,downtown,1,0.0,0.0,Neutral
1100,liquid,1,0.0,0.0,Neutral
1101,courage,1,0.0,0.0,Neutral
1102,honest,1,0.6,0.9,Positive
1103,vibrate,1,0.0,0.0,Neutral
1104,catch,3,0.0,0.0,Neutral
1105,vibe,1,0.0,0.0,Neutral
1106,babe,6,0.0,0.0,Neutral
1107,sun,11,0.0,0.0,Neutral
1108,hush,2,0.0,0.0,Neutral
1109,anyone,3,0.0,0.0,Neutral
1110,till,18,0.0,0.0,Neutral
1111,waking,3,0.0,0.0,Neutral
1112,direction,1,0.0,0.0,Neutral
1113,sized,2,0.0,0.0,Neutral
1114,queen,2,0.0,0.0,Neutral
1115,wizard,1,0.0,0.0,Neutral
1116,tellin,2,0.0,0.0,Neutral
1117,bewitching,1,0.7,1.0,Positive
1118,bar,1,0.0,0.0,Neutral
1119,spell,3,0.0,0.0,Neutral
1120,really,33,0.2,0.2,Positive
1121,bullshit,1,0.0,0.0,Neutral
1122,poison,4,0.0,0.0,Neutral
1123,exclusive,1,0.0,0.0,Neutral
1124,tension,3,0.0,0.0,Neutral
1125,intense,1,0.2,1.0,Positive
1126,asteroid,1,0.0,0.0,Neutral
1127,discreet,1,0.0,0.0,Neutral
1128,dodge,1,0.0,0.0,Neutral
1129,tabloid,1,0.0,0.0,Neutral
1130,problem,13,0.0,0.0,Neutral
1131,fake,4,-0.5,1.0,Negative
1132,shooting,1,0.0,0.0,Neutral
1133,boulevard,1,0.0,0.0,Neutral
1134,scarred,1,0.0,0.0,Neutral
1135,pre,3,0.0,0.0,Neutral
1136,chorus,8,0.0,0.0,Neutral
1137,1,3,0.0,0.0,Neutral
1138,leaving,1,0.0,0.0,Neutral
1139,view,2,0.0,0.0,Neutral
1140,crowded,2,0.0,0.0,Neutral
1141,complicate,1,0.0,0.0,Neutral
1142,universe,52,0.0,0.0,Neutral
1143,2,3,0.0,0.0,Neutral
1144,pas,1,0.0,0.0,Neutral
1145,hello,2,0.0,0.0,Neutral
1146,grief,1,-0.8,0.2,Negative
1147,death,2,0.0,0.0,Neutral
1148,ecstasy,1,0.0,0.0,Neutral
1149,sea,3,0.0,0.0,Neutral
1150,sure,3,0.5,0.8888888888888888,Positive
1151,bulletproof,2,0.0,0.0,Neutral
1152,solid,2,0.0,0.1,Neutral
1153,jewel,2,0.0,0.0,Neutral
1154,unbreakable,7,0.0,0.0,Neutral
1155,bend,3,0.0,0.0,Neutral
1156,tulip,3,0.0,0.0,Neutral
1157,eyed,3,0.0,0.0,Neutral
1158,foolish,4,0.0,0.0,Neutral
1159,bruise,3,0.0,0.0,Neutral
1160,breakin,3,0.0,0.0,Neutral
1161,wire,30,0.0,0.0,Neutral
1162,dagger,3,0.0,0.0,Neutral
1163,pattern,3,0.0,0.0,Neutral
1164,shatter,3,0.0,0.0,Neutral
1165,battered,3,0.0,0.0,Neutral
1166,giving,19,0.0,0.0,Neutral
1167,belong,1,0.0,0.0,Neutral
1168,station,1,0.0,0.0,Neutral
1169,prince,1,0.0,0.0,Neutral
1170,dove,2,0.0,0.0,Neutral
1171,evergreen,5,0.0,0.0,Neutral
1172,leaf,5,0.0,0.0,Neutral
1173,rely,1,0.0,0.0,Neutral
1174,asking,6,0.0,0.0,Neutral
1175,afford,1,0.0,0.0,Neutral
1176,forest,1,0.0,0.0,Neutral
1177,tree,1,0.0,0.0,Neutral
1178,thunder,4,0.0,0.0,Neutral
1179,mystery,1,0.0,0.0,Neutral
1180,water,7,0.0,0.0,Neutral
1181,higher,10,0.25,0.5,Positive
1182,throughout,1,0.0,0.0,Neutral
1183,ohh,1,0.0,0.0,Neutral
1184,shrug,1,0.0,0.0,Neutral
1185,shoulder,1,0.0,0.0,Neutral
1186,slow,12,-0.30000000000000004,0.39999999999999997,Negative
1187,write,3,0.0,0.0,Neutral
1188,opinion,2,0.0,0.0,Neutral
1189,fit,1,0.4,0.4,Positive
1190,crack,9,0.0,0.0,Neutral
1191,snow,3,0.0,0.0,Neutral
1192,ship,2,0.0,0.0,Neutral
1193,departed,1,0.0,0.0,Neutral
1194,anxious,1,-0.25,1.0,Negative
1195,doctor,1,0.0,0.0,Neutral
1196,played,9,0.0,0.0,Neutral
1197,spin,1,0.0,0.0,Neutral
1198,needle,11,0.0,0.0,Neutral
1199,pin,1,0.0,0.0,Neutral
1200,brim,1,0.0,0.0,Neutral
1201,limb,1,0.0,0.0,Neutral
1202,mixing,1,0.0,0.0,Neutral
1203,checking,1,0.0,0.0,Neutral
1204,twice,4,0.0,0.0,Neutral
1205,breath,9,0.0,0.0,Neutral
1206,seize,2,0.0,0.0,Neutral
1207,camera,2,0.0,0.0,Neutral
1208,action,2,0.1,0.1,Positive
1209,scene,2,0.0,0.0,Neutral
1210,mercy,8,0.0,0.0,Neutral
1211,company,17,0.0,0.0,Neutral
1212,corner,1,0.0,0.0,Neutral
1213,role,1,0.0,0.0,Neutral
1214,riding,1,0.0,0.0,Neutral
1215,hole,1,0.0,0.0,Neutral
1216,bow,1,0.0,0.0,Neutral
1217,fun,10,0.3,0.2,Positive
1218,keem,1,0.0,0.0,Neutral
1219,strawberry,11,0.0,0.0,Neutral
1220,lied,4,0.0,0.0,Neutral
1221,fence,1,0.0,0.0,Neutral
1222,key,4,0.0,1.0,Neutral
1223,stared,1,0.0,0.0,Neutral
1224,daydream,3,0.0,0.0,Neutral
1225,sugar,3,0.0,0.0,Neutral
1226,taste,12,0.0,0.0,Neutral
1227,racing,3,0.0,0.0,Neutral
1228,60,3,0.0,0.0,Neutral
1229,jean,6,0.0,0.0,Neutral
1230,lighter,3,0.0,0.0,Neutral
1231,candy,3,0.0,0.0,Neutral
1232,taught,1,0.0,0.0,Neutral
1233,fate,4,0.0,0.0,Neutral
1234,cab,1,0.0,0.0,Neutral
1235,smell,1,0.0,0.0,Neutral
1236,holiday,2,0.0,0.0,Neutral
1237,wanting,3,0.0,0.0,Neutral
1238,shake,5,0.0,0.0,Neutral
1239,hunger,2,0.0,0.0,Neutral
1240,pleasure,3,0.0,0.0,Neutral
1241,runnin,4,0.0,0.0,Neutral
1242,beauty,4,0.0,0.0,Neutral
1243,drive,6,0.0,0.0,Neutral
1244,wild,7,0.1,0.4,Positive
1245,shy,1,-0.5,0.5,Negative
1246,number,27,0.0,0.0,Neutral
1247,seven,9,0.0,0.0,Neutral
1248,billion,8,0.0,0.0,Neutral
1249,almost,7,0.0,0.0,Neutral
1250,lived,6,0.0,0.0,Neutral
1251,begun,5,0.0,0.0,Neutral
1252,page,1,0.0,0.0,Neutral
1253,amazing,1,0.6000000000000001,0.9,Positive
1254,whole,5,0.2,0.4,Positive
1255,unexpected,1,0.1,1.0,Positive
1256,connected,1,0.0,0.0,Neutral
1257,resurrected,1,0.0,0.0,Neutral
1258,headed,2,0.0,0.0,Neutral
1259,ending,4,0.0,0.0,Neutral
1260,surrounded,3,0.0,0.0,Neutral
1261,unthinkable,1,-0.05,0.8,Negative
1262,miracle,1,0.0,0.0,Neutral
1263,moral,5,0.0,0.25,Neutral
1264,blindsided,1,0.0,0.0,Neutral
1265,addicted,3,-0.4,0.6,Negative
1266,hindsight,1,0.0,0.0,Neutral
1267,obvious,1,0.0,0.5,Neutral
1268,lawyer,1,0.0,0.0,Neutral
1269,guy,3,0.0,0.0,Neutral
1270,young,35,0.1,0.4,Positive
1271,memory,8,0.0,0.0,Neutral
1272,volatile,1,0.0,0.0,Neutral
1273,painted,1,0.0,0.0,Neutral
1274,house,10,0.0,0.0,Neutral
1275,grandparent,1,0.0,0.0,Neutral
1276,fought,2,0.0,0.0,Neutral
1277,mother,1,0.0,0.0,Neutral
1278,loved,9,0.7,0.8,Positive
1279,load,1,0.0,0.0,Neutral
1280,engaged,1,0.0,0.0,Neutral
1281,knife,2,0.0,0.0,Neutral
1282,alive,11,0.1,0.4,Positive
1283,quit,2,0.0,0.0,Neutral
1284,shaking,3,0.0,0.0,Neutral
1285,onto,3,0.0,0.0,Neutral
1286,knee,12,0.0,0.0,Neutral
1287,needing,9,0.0,0.0,Neutral
1288,aching,3,0.0,0.0,Neutral
1289,begging,4,0.0,0.0,Neutral
1290,moth,1,0.0,0.0,Neutral
1291,drawn,1,0.0,0.0,Neutral
1292,lured,1,0.0,0.0,Neutral
1293,sense,2,0.0,0.0,Neutral
1294,bitter,1,-0.1,0.5,Negative
1295,reap,2,0.0,0.0,Neutral
1296,sow,2,0.0,0.0,Neutral
1297,thread,7,0.0,0.0,Neutral
1298,insomnia,13,0.0,0.0,Neutral
1299,arm,5,0.0,0.0,Neutral
1300,tylenol,1,0.0,0.0,Neutral
1301,pm,1,0.0,0.0,Neutral
1302,workin,1,0.0,0.0,Neutral
1303,track,1,0.0,0.0,Neutral
1304,lurkin,1,0.0,0.0,Neutral
1305,reaching,4,0.0,0.0,Neutral
1306,tossing,4,0.0,0.0,Neutral
1307,turning,7,0.0,0.0,Neutral
1308,flipping,2,0.0,0.0,Neutral
1309,pillow,2,0.0,0.0,Neutral
1310,curtain,2,0.0,0.0,Neutral
1311,setting,3,0.0,0.0,Neutral
1312,cruise,3,0.0,0.0,Neutral
1313,pacin,1,0.0,0.0,Neutral
1314,blame,5,0.0,0.0,Neutral
1315,facin,1,0.0,0.0,Neutral
1316,standin,2,0.0,0.0,Neutral
1317,porch,2,0.0,0.0,Neutral
1318,sayin,7,0.0,0.0,Neutral
1319,fresh,3,0.3,0.5,Positive
1320,read,1,0.0,0.0,Neutral
1321,speed,2,0.0,0.0,Neutral
1322,detest,1,0.0,0.0,Neutral
1323,bit,3,0.0,0.0,Neutral
1324,difficult,1,-0.5,1.0,Negative
1325,terror,1,0.0,0.0,Neutral
1326,prey,1,0.0,0.0,Neutral
1327,innocent,4,0.5,0.7,Positive
1328,victim,2,-0.07500000000000001,0.05,Negative
1329,darlin,6,0.0,0.0,Neutral
1330,loveless,1,0.0,0.0,Neutral
1331,integrity,1,0.0,0.0,Neutral
1332,faith,3,0.0,0.0,Neutral
1333,crocodile,1,0.0,0.0,Neutral
1334,tearing,2,0.0,0.0,Neutral
1335,seam,2,0.0,0.0,Neutral
1336,escape,2,0.0,0.0,Neutral
1337,erase,2,0.0,0.0,Neutral
1338,happiness,1,0.7,0.2,Positive
1339,askin,4,0.0,0.0,Neutral
1340,war,3,0.0,0.0,Neutral
1341,nowhere,3,0.0,0.0,Neutral
1342,paper,1,0.0,0.0,Neutral
1343,pen,1,0.0,0.0,Neutral
1344,understood,1,0.0,0.0,Neutral
1345,irony,1,0.0,0.0,Neutral
1346,sleeping,2,0.0,0.0,Neutral
1347,dumb,5,-0.375,0.5,Negative
1348,afraid,4,-0.6,0.9,Negative
1349,demon,5,0.0,0.0,Neutral
1350,kicking,3,0.0,0.0,Neutral
1351,screaming,6,0.0,0.0,Neutral
1352,behind,6,-0.4,0.7,Negative
1353,save,9,0.0,0.0,Neutral
1354,gotcha,3,0.0,0.0,Neutral
1355,step,7,0.0,0.0,Neutral
1356,shut,6,0.0,0.0,Neutral
1357,2x,2,0.0,0.0,Neutral
1358,scar,9,0.0,0.0,Neutral
1359,prove,1,0.0,0.0,Neutral
1360,showing,1,0.0,0.0,Neutral
1361,sanity,1,0.0,0.0,Neutral
1362,suicide,3,0.0,0.0,Neutral
1363,legend,10,0.0,0.0,Neutral
1364,saved,4,0.0,0.0,Neutral
1365,pretty,24,0.25,1.0,Positive
1366,motivator,1,0.0,0.0,Neutral
1367,changin,1,0.0,0.0,Neutral
1368,behavior,1,0.0,0.0,Neutral
1369,lady,1,0.0,0.0,Neutral
1370,operator,1,0.0,0.0,Neutral
1371,dialin,1,0.0,0.0,Neutral
1372,throwin,3,0.0,0.0,Neutral
1373,livin,6,0.0,0.0,Neutral
1374,disaster,1,0.0,0.0,Neutral
1375,answer,6,0.0,0.0,Neutral
1376,master,3,0.0,0.0,Neutral
1377,weigh,1,0.0,0.0,Neutral
1378,devotion,2,0.0,0.0,Neutral
1379,dreamworld,4,0.0,0.0,Neutral
1380,middle,22,0.0,0.0,Neutral
1381,stair,1,0.0,0.0,Neutral
1382,cabinet,1,0.0,0.0,Neutral
1383,bare,3,0.05,0.1,Positive
1384,unaware,1,0.0,0.5,Neutral
1385,aggressive,2,0.0,0.0,Neutral
1386,intention,2,0.0,0.0,Neutral
1387,minute,6,0.0,0.0,Neutral
1388,kitchen,4,0.0,0.0,Neutral
1389,wet,1,-0.1,0.4,Negative
1390,tap,1,0.0,0.0,Neutral
1391,admission,1,0.0,0.0,Neutral
1392,regardless,1,0.0,0.0,Neutral
1393,objection,1,0.0,0.0,Neutral
1394,pride,4,0.0,0.0,Neutral
1395,sober,15,0.1,0.2,Positive
1396,dip,1,0.0,0.0,Neutral
1397,beer,1,0.0,0.0,Neutral
1398,crawl,2,0.0,0.0,Neutral
1399,following,1,0.0,0.1,Neutral
1400,definitely,1,0.0,0.5,Neutral
1401,nineteen,3,0.0,0.0,Neutral
1402,twenty,3,0.0,0.0,Neutral
1403,weak,3,-0.375,0.625,Negative
1404,wow,3,0.1,1.0,Positive
1405,downed,3,0.0,0.0,Neutral
1406,music,3,0.0,0.0,Neutral
1407,loud,3,0.1,0.8,Positive
1408,trade,3,0.0,0.0,Neutral
1409,rover,3,0.0,0.0,Neutral
1410,beg,1,0.0,0.0,Neutral
1411,roller,1,0.0,0.0,Neutral
1412,coaster,1,0.0,0.0,Neutral
1413,bounce,1,0.0,0.0,Neutral
1414,honestly,1,0.6,0.9,Positive
1415,unstoppable,14,0.0,0.0,Neutral
1416,pumping,1,0.0,0.0,Neutral
1417,battle,1,0.0,0.0,Neutral
1418,hero,6,0.0,0.0,Neutral
1419,everywhere,6,0.0,0.0,Neutral
1420,swinging,3,0.0,0.0,Neutral
1421,ali,3,0.0,0.0,Neutral
1422,knocking,3,0.0,0.0,Neutral
1423,champion,3,0.0,0.0,Neutral
1424,silver,3,0.0,0.0,Neutral
1425,impossible,3,-0.6666666666666666,1.0,Negative
1426,woah,37,0.0,0.0,Neutral
1427,spotlight,1,0.0,0.0,Neutral
1428,byte,1,0.0,0.0,Neutral
1429,fuel,1,0.0,0.0,Neutral
1430,anybody,1,0.0,0.0,Neutral
1431,lunatic,1,0.0,0.0,Neutral
1432,stake,1,0.0,0.0,Neutral
1433,treat,1,0.0,0.0,Neutral
1434,clarity,1,0.0,0.0,Neutral
1435,ignore,1,0.0,0.0,Neutral
1436,honesty,1,0.0,0.0,Neutral
1437,exactly,2,0.25,0.25,Positive
1438,become,3,0.0,0.0,Neutral
1439,summer,13,0.0,0.0,Neutral
1440,depression,17,0.0,0.0,Neutral
1441,teenage,2,0.0,0.0,Neutral
1442,emotional,2,0.0,0.65,Neutral
1443,social,2,0.03333333333333333,0.06666666666666667,Positive
1444,anxiety,2,0.0,0.0,Neutral
1445,normal,1,0.15,0.6499999999999999,Positive
1446,outside,1,0.0,0.05,Neutral
1447,disappear,2,0.0,0.0,Neutral
1448,worst,2,-1.0,1.0,Negative
1449,habit,1,0.0,0.0,Neutral
1450,sadness,1,0.0,0.0,Neutral
1451,london,1,0.0,0.0,Neutral
